NOC,Color
IRI,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
IRL,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
IRQ,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
ISL,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
ISR,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
ISV,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
ITA,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
IVB,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
JAM,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
JOR,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
JPN,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
KAZ,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
KEN,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
KGZ,"(1.0, 0.4980392156862745, 0.054901960784313725)"
KIR,"(1.0, 0.7333333333333333, 0.47058823529411764)"
KOR,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
KOS,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
KSA,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
KUW,"(1.0, 0.596078431372549, 0.5882352941176471)"
LAO,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
LAT,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
LBA,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
LBN,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
LBR,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
LCA,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
LES,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
LIB,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
LIE,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
LTU,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
LUX,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
MAD,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
MAR,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
MAS,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
MAW,"(1.0, 0.4980392156862745, 0.054901960784313725)"
MDA,"(1.0, 0.7333333333333333, 0.47058823529411764)"
MDV,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
MEX,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
MGL,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
MHL,"(1.0, 0.596078431372549, 0.5882352941176471)"
MKD,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
MLI,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
MLT,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
